MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Baires,(2015),"
Action, Crime, Thriller            ",4.2,"
An ordinary man's romantic trip to Argentina turns to horror when vicious drug dealers hold his girlfriend hostage and force him to do a job for them.","
    Director:
Marcelo Páez Cubells
| 
    Stars:
Germán Palacios, 
Benjamín Vicuña, 
Sabrina Garciarena, 
Carlos Belloso
",197,82,
Louder Than a Bomb,(2010),"
Documentary            ",7.5,"
By turns hopeful and heartbreaking, Louder Than a Bomb follows the fortunes of four Chicago-area high school poetry teams as they prepare for and compete in the world's largest youth slam.","
    Directors:
Greg Jacobs, 
Jon Siskel
| 
    Stars:
Kevin Coval, 
Adam Gottlieb, 
Elizabeth Graf, 
Kevin Harris
",373,99,$0.04M
Growing Up Coy,(2016),"
Documentary            ",5.7,"
A Colorado family is thrust into the international media spotlight when they fight for the rights of their 6-year-old transgender daughter in a landmark civil rights case.","
    Director:
Eric Juhola
| 
    Stars:
Auri Mathis, 
Coy Mathis, 
Dakota Mathis, 
Jeremy Mathis
",373,83,
The Honeymoon Stand-Up Special,(2018– ),"
Comedy            ",6.9,"
Husband-and-wife comics Moshe Kasher and Natasha Leggero share their terror and reluctance on becoming new parents; she wonders why men are needed at this point; he recalls a story from his...                See full summary »
","
            
    Stars:
Moshe Kasher, 
Natasha Leggero
",484,31,
Capital C,(2014),"
Documentary, News            ",6.8,"
CAPITAL C is the first documentary about crowdfunding. It follows the hopes and dreams as well as the fears and pitfalls of a whole new generation of independent creators, who reach out to the crowd in order to change their lives forever.","
    Directors:
Timon Birkhofer, 
Jørg M. Kundinger
| 
    Stars:
Zach Crain, 
Brian Fargo, 
Jackson Robinson
",266,87,
Birders,(2019),"
Documentary, Short            ",6.4,"
Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful bird species.","
    Director:
Otilia Portillo Padua
| 
    Stars:
Esteban Berrones, 
Chris Birchfield, 
Mark Conway, 
Juana Dapa
",230,37,
Onder het hart,(2014),"
Comedy, Drama            ",6.1,"
Masha is in an overwhelming relationship with Luuk, father of two and divorced. Nothing seems to stand in their way until Luuk becomes incurably ill.","
    Director:
Nicole van Kilsdonk
| 
    Stars:
Frank Lammers, 
Hanna Obbeek, 
Kim van Kooten, 
Kay Greidanus
",303,99,
Dear Nathan,(2017),"
Drama, Romance            ",7.1,"
When Nathan (Jefri Nichol) seriously starts to change for Salma (Amanda Rawles), Nathan's past love comes to ask for Nathan's love back.","
    Director:
Indra Gunawan
| 
    Stars:
Amanda Rawles, 
Jefri Nichol, 
Surya Saputra, 
Rayn Wijaya
",440,99,
Tamiô,(2015– ),"
Comedy            ",6.1,"
One day, the current prime minister of Japan, Muto Taizan, and his useless son, Sho, suddenly discover that they have switched bodies. With no known cause or solution at hand, Sho ...                See full summary »
","
            
    Stars:
Ken'ichi Endô, 
Masaki Suda, 
Yuika Motokariya, 
Ji-young Kang
",197,54,
Nerdcore Rising,(2008),"
Documentary, Music            ",6.7,"
Hilariously entertaining, NERDCORE RISING introduces a new wave of hip-hop to the world called ""Nerdcore"" where computer obsesses geeks bust rhymes about the hard knock life of nerdom. The ...                See full summary »
","
    Directors:
Negin Farsad, 
Kimmy Gatewood
| 
    Stars:
Damian Hess, 
Gaby Alter, 
Beefy, 
Jello Biafra
",412,85,
Ella Brennan: Commanding the Table,(2016),"
Documentary            ",8.6,"
Today, the world knows restaurateur Ella Brennan as the matriarch of a Creole-flavored dining dynasty dating back over half a century. She has become a household name in the restaurant ...                See full summary »
","
    Director:
Leslie Iwerks
| 
    Stars:
Meg Bickford, 
Marcelle Bienvenu, 
Daniel Boulud, 
Gene Bourg
",62,96,
Filthy Gorgeous: The Bob Guccione Story,(2013),"
Documentary, Biography            ",6.5,"
A look at the extraordinary world of Penthouse founder, visionary and provocateur Bob Guccione.","
    Director:
Barry Avrich
| 
    Stars:
Patrice Adcroft, 
Audrey Arnold, 
Peter Bloch, 
Joe Brooks
",353,96,
Oh Baby,(2017),"
Comedy            ",5.6,"
A happy-go-lucky songwriter has his life turned upside down when, after the sudden death of a fling, he finds himself in care of the eight-month-old son he didn't know he had.","
    Director:
Thomas Acda
| 
    Stars:
Manoushka Zeegelaar Breeveld, 
Tony Clark, 
Tony Clark, 
Tina de Bruin
",173,96,
Vidal Sassoon: The Movie,(2010),"
Documentary            ",6.5,"
Vidal Sassoon is more than just a hairdresser-he's a rock star, an artist, a craftsman who ""changed the world with a pair of scissors."" With the geometric, Bauhaus-inspired hairdos he ...                See full summary »
","
    Director:
Craig Teper
| 
    Stars:
Beverly Adams, 
Elgin Charles, 
Grace Coddington, 
Michael Gordon
",245,90,$0.09M
Untitled Charlize Theron/Netflix Project,,"
Drama, Sport            ",,"
The battle of four women to compete in big wave surfing.","
    Director:
Niki Caro
",,,
The Inexplicable Universe: Unsolved Mysteries,(2012– ),"
Documentary            ",8.4,"
Everything we now know about the universe-from the behaviour of quarks to the birth of entire galaxies-has stemmed from scientists who've been willing to ponder the unanswerable.","
            
    Star:
Neil deGrasse Tyson
",277,,
Never Stop Dreaming: The Life and Legacy of Shimon Peres,(2018),"
Documentary            ",,"
A look back on the life of Nobel Peace Prize winner, Shimon Peres, who served as prime minister of Israel twice and negotiated the 1994 Israel-Jordan peace treaty.","
    Director:
Richard Trank
| 
    Stars:
George W. Bush, 
George Clooney, 
Barack Obama, 
Shimon Peres
",,129,
"Devil's Backbone, Texas",(2015),"
Horror            ",4.1,"
In January, 1996 Unsolved Mysteries featured a story on landowner Bert Wall's 'real-life' interactions with the spirits that roamed the Devil's Backbone. Nearly twenty years later, Wall ...                See full summary »
","
    Director:
Jake Wade Wall
| 
    Stars:
Avery Atchley, 
Savannah Atchley, 
Marilyn Baxter, 
Michaela Beach
",581,80,
Tokyo kaiki zake,(2021– ),"
Horror            ",5.0,"
Add a Plot
","
            
    Stars:
Yôsuke Sugino, 
Borsalino Seki, 
Amane Okayama, 
Suzuyuki Kaneko
",6,,
Running Mates,(2011),"
Comedy            ",5.3,"
Two best friends run against each other for mayor of their home town.","
    Director:
Thomas Michael
| 
    Stars:
DJ Qualls, 
Graham Greene, 
Henry Winkler, 
Linda Kash
",108,90,
Ricardo Quevedo: Los Amargados Somos Mas,(2019 TV Special),"
Comedy            ",7.3,"
Add a Plot
","
            
    Star:
Ricardo Quevedo
",90,58,
Transformers: BotBots,,"
Animation, Action, Adventure            ",,"
BotBots are Transformers robots that disguise themselves as everyday mall objects. By day, these BotBots hide quietly on store shelves but at night, they jump into adventure until a group ...                See full summary »
","
",,,
David A. Arnold Fat Ballerina,(2020 TV Special),"
Comedy            ",7.4,"
Add a Plot
","
    Director:
Milton Horowitz
| 
    Star:
David A. Arnold
",59,60,
Fight Church,(2014),"
Documentary, Sport            ",6.0,"
Fight Church follows several cage fighting pastors as they beat the holy hell out of each other... because Jesus never tapped out.","
    Directors:
Daniel Junge, 
Bryan Storkel
| 
    Stars:
Paul Burress, 
John Renken, 
Nahshon Nicks, 
Preston Hocker
",116,84,
Ralphie May: Unruly,(2015 Video),"
Comedy            ",4.8,"
Filmed in front of a raucous crowd, comedian Ralphie May unleashes his hilariously raunchy perspective in his first Netflix original stand-up special.","
    Director:
John Asher
| 
    Star:
Ralphie May
",380,83,
Heaven's Forest,,"
Animation, Action, Drama            ",,"
An Indo-futuristic world, with storyline and characters inspired by the Indian mythology of the Ramayana.","
",,,
Super Monsters Monster Pets,(2019– ),"
Animation            ",6.1,"
Add a Plot
","
            
    Star:
Sabrina Pitre
",29,,
Dead of Winter,(I),"
Drama            ",,"
An Asian American family's weekend in the mountains becomes a fight for survival when they're confronted by a dangerous fugitive on the run.","
    Director:
Mike Gan
",,,
Single Tokyo Man,(2019– ),"
Drama            ",5.5,"
Three Japanese men in their thirties and forties are professionals working in law, dentistry and banking. The friends are trusting of one another and enjoy each others' fellowship. Aside ...                See full summary »
","
            
    Stars:
Mayu Miyamoto, 
Lisa Naitô, 
Riisa Naka, 
Seiji Nozoe
",111,,
Untitled Nipsey Hussle Documentary,,"
Documentary            ",,"
The late, great Nipsey Hussle.","
    Director:
Ava DuVernay
",,,
American Factory: A Conversation with the Obamas,(2019),"
Documentary, Short            ",5.2,"
Barack and Michelle Obama talk with the directors of the documentary American Factory about the importance of storytelling and the impact of their film.","
            
    Stars:
Steven Bognar, 
Barack Obama, 
Michelle Obama, 
Julia Reichert
",261,10,
Zum zum zum - La canzone che mi passa per la testa,(1969),"
Comedy, Family, Musical            ",5.2,"
The sons of a music-loving insurance broker take extreme measures to find happiness for themselves and others, with some help from the power of music.","
    Directors:
Bruno Corbucci, 
Sergio Corbucci
| 
    Stars:
Dolores Palumbo, 
Little Tony, 
Walter Brugiolo, 
Enzo Cannavale
",47,102,
Moving Art: Flowers,(2014 Video),"
Documentary, Short            ",8.4,"
Celebrated filmmaker Louie Schwartzberg takes viewers on an enchanting journey, unveiling the mysteries and wonders of the natural world as elegant flowers come to life through his stunning time-lapse cinematography.","
    Director:
Louie Schwartzberg
",203,25,
Men at Lunch,(2012),"
Documentary, Mystery            ",6.3,"
The story of ""Lunch atop a Skyscraper,"" the iconic photograph taken during the construction of 30 Rockefeller Plaza.","
    Director:
Seán Ó Cualáin
| 
    Stars:
Fionnula Flanagan, 
Peter Quinn, 
Ric Burns, 
Christine Roussel
",331,75,$0.00M
La legge del numero uno,(2017 TV Movie),"
Drama            ",6.9,"
While waiting for a chance at furlough, three inmates compete against each other to secure a meeting with the judge first.","
    Director:
Alessandro D'Alatri
| 
    Stars:
Marco Palvetti, 
Andrea Sartoretti, 
Pietro Bontempo, 
Francesca Della Ragione
",10,,
A Final Cut for Orson: 40 Years in the Making,(2018),"
Documentary, Short            ",7.2,"
A glimpse behind the scenes into the complicated process of recovering and completing the final film of legendary director Orson Welles.","
    Director:
Ryan Suffern
| 
    Stars:
Frank Marshall, 
Peter Bogdanovich, 
Filip Jan Rymsza, 
Ruth Hasty
",218,38,
Je parle toute seule,(2016),"
Comedy            ",7.8,"
Blanche Gardin presents her new stand-up comedy, « Je Parle Toute Seule », that will get her the award ""Molière for best comedy show"". A hilarious and uninhibited show.","
            
    Star:
Blanche Gardin
",109,88,
Wahid Saeiday,(2014),"
Comedy            ",3.1,"
(Faleh) youth levels graduated from the Faculty of Law, brokered by his father to help him in the search for a job, to be appointed in a tourist resorts as an individual security, during ...                See full summary »
","
    Director:
Ismail Farouk
| 
    Stars:
Mohamad Ramadan, 
Randa Al Behery, 
Ahmed El-Tuhami, 
Mayar El Gheity
",227,85,
The Residence,,"
Drama            ",,"
Inside the White House's staff residence and the lives workers share with the First Family.","
",,,
Jim Norton: Mouthful of Shame,(2017 TV Special),"
Comedy            ",6.8,"
In this unrestricted jaunt, comic Jim Norton offers a personal perspective on romance, desire, and sexual proclivities.","
    Director:
Shannon Hartman
| 
    Stars:
Jim Norton, 
Louis C.K., 
Robert De Niro, 
Ricky Gervais
","1,263",61,
Vir Das: Outside in - The Lockdown Special,(2020 TV Special),"
Comedy            ",6.9,"
Stage banter takes on a different - deeper - meaning as the comedian performs online shows to homebound viewers worldwide from his Mumbai residence.","
    Director:
Vir Das
| 
    Star:
Vir Das
",199,50,
Uncoupled,,"
Comedy, Thriller            ",,"
The script penned by Fox, is a comedic thriller about a married couple, on the eve of their divorce, who are wrongly accused of murder - and instead of splitting up, go on the run together,...                See full summary »
","
",,,
Mexico Diseña,(2016– ),"
Game-Show, Reality-TV            ",5.6,"
Young fashion designers vie for the chance to become Mexico's next big talent by competing before judges in grueling tests of creativity and stamina.","
            
    Stars:
Renato Lopez, 
Emilio Aguado, 
Claudia Cándano, 
Manuel Díaz
",6,25,
Pico & Sepulveda,,"
Drama            ",,"
American forces threaten brutality and war in the 1840's Mexican state of California.","
",,,
CoComelon Lane,(2022– ),"
Animation, Comedy, Family            ",,"
The adventures of JJ and his friends as they experience life as little kids.","
",,7,
Queen of Carthage,(2014),"
Drama, Thriller            ",5.6,"
An American Drifter discovers a New Zealand Singer and develops an obsession for him.","
    Director:
Mardana M. Mayginnes
| 
    Stars:
Shiloh Fernandez, 
Keisha Castle-Hughes, 
Graham Candy, 
Amanda Tito
",222,92,
The Chameleon,,"
Drama            ",,"
A young man pretends to be a long-lost son to a family whose real son went missing years ago.","
",,,
Tunga,,"
Animation, Action, Adventure            ",,"
Tunga, a young African girl and her animal totem Zuze must venture to a mythical city to learn the magic of summoning rain to save her village from drought.","
    Director:
Rosendo Ruíz
",,,
Tony Hinchcliffe: One Shot,(2016 TV Special),"
Comedy            ",6.0,"
This groundbreaking comedy special is presented in one continuous shot of witty stand-up from the Ice House in Pasadena, California.","
    Director:
Ben Wolfinsohn
| 
    Star:
Tony Hinchcliffe
",163,57,
Droppin' Cash: Los Angeles,(2018– ),"
Reality-TV            ",3.5,"
Ball out with your favorite artists and athletes in LA as they drop crazy cash on the stuff we all dream about.","
            
    Stars:
Alfredo Flores, 
Xion Michelle, 
Toni Romiti, 
Brynda Rowen
",110,,
Home for Christmas,,"
Drama            ",,"
Add a Plot
","
            
    Stars:
Dennis Storhøi, 
Ida Elise Broch, 
Anette Hoff, 
Gabrielle Leithaug
",,,
Kaptn Oskar,(2013),"
Drama, Romance            ",5.2,"
The turbulent relationship between Oskar and Alex ends in a big blaze, Alex has set in Oskar's apartment. So Oskar decides that everything shall be different with the next one and he makes ...                See full summary »
","
    Director:
Tom Lass
| 
    Stars:
Amelie Kiefer, 
Tom Lass, 
Martina Schöne-Radunski, 
Gunnar Teuber
",250,78,
Idol,(III),"
Drama            ",,"
A young woman begins working as an assistant to a pop singer and slowly starts to emulate her.","
",,,
#Rucker50,(2016),"
Documentary            ",5.2,"
Add a Plot
","
    Director:
Robert McCullough Jr.
| 
    Star:
Inez Dickens
",105,56,
"Alexis Viera, una historia de superación",(2019),"
Documentary            ",7.2,"
Alexis Viera, una historia de superación is a film that highlights the struggle, sacrifice, will and forgiveness as the engine of life, told from the testimony of a sports athlete who is an example of life.","
    Director:
Luis Ara
",42,68,
The City of Brass,,,,"
Add a Plot
","
",,,
Popples,(2015–2016),"
Animation            ",6.0,"
Popples is an animated high-energy children's comedy series about an amazing species of creatures that can pop into and out of a ball. The story is driven by the optimistic comedic ...                See full summary »
","
            
    Stars:
Erin Fitzgerald, 
Cassandra Lee Morris, 
Grant George, 
Cindy Robinson
",52,,
Maz Jobrani: Immigrant,(2017 TV Special),"
Comedy            ",6.7,"
In this very funny comedy show, Maz mainly focuses on current political environment especially by telling jokes about Donald Trump and his anti-immigrant politics. During the show he talks ...                See full summary »
","
    Director:
Maz Jobrani
| 
    Star:
Maz Jobrani
",772,112,
Zac Efron: The Ultimate Idol,(2009 Video),"
Biography            ",5.4,"
Get to know the real Zac Efron with this documentary that journeys to the star's real-life school and hometown, where longtime friends share their insights on the hunky High School Musical ...                See full summary »
","
    Director:
Shara Angell
| 
    Stars:
Jeff Ballard, 
Zac Efron, 
Vanessa Hudgens, 
Adam Shankman
",15,60,
The Cactus,,,,"
An unexpected pregnancy at 45 causes a reserved woman to rethink the structured life she has created for herself and leads her on an unconventional journey toward love, family and learning to embrace the unexpected","
",,,
Ídolo,,"
Comedy, Drama, Music            ",,"
An unconditional fan starts impersonating his new idol following his death.","
            
    Star:
Roger Gual
",,10,
Nexus,(2010),"
Thriller            ",6.7,"
Holly is a struggling singer whose life is torn apart when she is accused of her husband's murder. When she discovers that her husband had been smuggling a rare drug called Nexus, she finds herself at the center of a small-town conspiracy.","
    Director:
Neil Coombs
| 
    Stars:
Grace Kosaka, 
Andrew Kraulis, 
Jefferson Mappin, 
Nick Alachiotis
",81,81,
Att döda ett barn,(1953),"
Drama, Short            ",7.4,"
Depicting minutes before and after a child is killed by a car.","
    Director:
Gösta Werner
| 
    Stars:
Gunnar Sjöberg, 
Marie-Anne Condé, 
Karl-Erik Forsgårdh, 
Sissi Kaiser
",200,9,
Mortified Nation,(2013),"
Documentary            ",7.3,"
Adults share their most embarrassing teenage writings and art in front of total strangers at Mortified stage shows across the country, as the filmmakers explore what the show's popularity says about all of us.","
    Director:
Michael Mayer
| 
    Stars:
Jenny Bergman, 
Alexander Burke, 
Cecil Castellucci, 
Tynan DeLong
",991,84,
Heart of Invictus,(2022– ),"
Documentary, Sport            ",,"
Follow a group of competitors, from around the globe, all service members who have suffered life-changing injuries or illnesses, on their road to the Invictus Games The Hague","
            
    Star:
Prince Harry
",,,
Sharkey the Bounty Hunter,,"
Action, Adventure, Drama            ",,"
A blue-collar bounty-hunter named Sharkey tracks criminals across the galaxy.","
",,,
Sameer,(2017),"
Drama            ",5.4,"
A young engineering student is forced to help authorities find his roommate after the latter is suspected of masterminding a series of bombings.","
    Director:
Dakxin Bajrange
| 
    Stars:
Mohd. Zeeshan Ayyub, 
Master Shubham Bajrange, 
Jay Bhatt, 
Seema Biswas
",224,129,
Untitled Netflix/My Little Pony Series,,"
Animation, Adventure, Comedy            ",,"
The series will center on the adventures of Sunny Starscout and her friends after the events depicted in the film.","
",,,
Untitled Queen Charlotte Project,(II),"
Drama, Romance            ",,"
The rise and love life of a young Queen Charlotte.","
",,,
Valhalla,(2013),"
Action, Adventure, Sport            ",7.2,"
Valhalla, Sweetgrass Productions' fourth feature film, is the tale of one man's search to rediscover the freedom of his youth. Beyond action sports-- with Valhalla's totally unique style ...                See full summary »
","
    Directors:
Ben Sturgulewski, 
Nick Waggoner
| 
    Stars:
Cody Barnhill, 
Casey Ogle, 
Sierra Quitiquit, 
Alex Monot
",212,64,
Parchís: El documental,(2019),"
Documentary            ",6.7,"
A documentary about the rise and fall of the Spanish children's music group, Parchis.","
    Director:
Daniel Arasanz
| 
    Stars:
Eva Mariol, 
Imma Cabecerans, 
Joaquín Oristrell, 
Ángel Arroyo
",512,106,
GameStop,,"
Documentary            ",,"
A look at the layers on intrigue, from the supercharged power of digital communities to the gamification of trading.","
",,,
Thermae Romae Novae,,"
Animation, Comedy, Fantasy            ",,"
The Roman architect Lucius is transported through time to modern-day Japan, where he learns about Japanese bathhouses and uses this to his gain back home.","
",,,
Gary Gulman: It's About Time,(2016 TV Special),"
Comedy            ",7.3,"
Stand up topics include extreme laziness, Hitler, and the joys and pitfalls of shopping at Trader Joes","
    Director:
Gary Gulman
| 
    Star:
Gary Gulman
",274,54,
CCTV: Caught on Camera,(2014– ),"
Reality-TV            ",,"
The residents of Southampton's 19 council-owned tower blocks are monitored by CCTV 24 hours a day. It is the life on both sides of the lens, meeting both the tenants whose lives are under constant surveillance, and the CCTV operators.","
",,43,
Days of Disaster,(2015– ),"
Documentary, Drama            ",,"
Add a Plot
","
            
    Star:
Remesh Panicker
",,,
Far Cry,,"
Animation, Action, Adventure            ",,"
Feature film based on the video game 'Far Cry' in which an a former Special Forces operative tracks down a missing journalist.","
",,,
Fuller House Featurette,(2016 Video),"
Short            ",8.1,"
Add a Plot
","
            
    Star:
Twain Taylor
",19,,
Made in Bangkok,(2015),"
Documentary, Comedy, Drama            ",7.2,"
Morgana is a Mexican transgender opera singer with a dream: a sex reassignment surgery. We follow her odyssey all the way to Bangkok as she fights for the identity she has been struggling all her life to construct.","
    Director:
Flavio Florencio
| 
    Stars:
Morganna Love, 
Noa Herrera
",102,75,
Ghee Happy,,"
Animation, Comedy, Family            ",,"
A playful reimagining of the Hindu deities as little kids discovering their powers in a deity daycare.","
",,,
A Go! Go! Cory Carson Christmas,(2020 TV Special),"
Animation, Short, Family            ",6.4,"
When a familiar stranger shows up with no memory, Cory saves Christmas for everyone by helping him remember the magic of Christmas.","
    Directors:
Stanley Moore, 
Alex Woo
| 
    Stars:
Ella Joy Ballesteros, 
Maisie Benson, 
Smith Foreman, 
Kerry Gudjohnsen
",37,21,
Steps,(IX),"
Animation, Adventure, Comedy            ",,"
Two stepsisters are overlooked for marriage by the prince and embark on an epic journey, realizing that their own perfect fairytales might be different from what they originally thought.","
    Director:
Alyce Tzue
",,,
Chung Cu Ma,(2014),"
Comedy, Horror            ",5.6,"
When moving to a new apartment, a mother and her 5-year-old son keep being haunted by an angry ghost hiding in a music box.","
    Director:
Van M. Pham
| 
    Stars:
Phuong Mai, 
Su Quang, 
Hoang Phuc Nguyen, 
Chi Pu
",129,115,
Amnesty,(II),"
Thriller            ",,"
Follows an undocumented migrant who cleans houses who realizes he has information about the sudden murder of one of his employers.","
    Director:
Ramin Bahrani
",,,
Lostorage incited Wixoss,(2016– ),"
Animation, Drama, Fantasy            ",5.6,"
High school student Homura Suzuko has returned to Ikebukuro, the town where she grew up. ""We're friends forever!"" She treasures her memories of her old friend from when she was little, ...                See full summary »
","
            
    Stars:
Chinami Hashimoto, 
Yuka Iguchi, 
Kana Asumi, 
Saori Gotô
",39,24,
Fukrey Boyzzz,(2019– ),"
Comedy            ",,"
Add a Plot
","
            
    Stars:
Viraaj Modgill, 
Pooja Punjabi, 
Jasleen Singh
",,,
Turn It Up!,(2014),"
Documentary            ",7.4,"
A celebration of the electric guitar, hosted by Kevin Bacon and featuring interviews & performances by B.B. King, Slash, Les Paul, Robby Krieger, John 5, Paul Stanley, Skunk Baxter, Jerry Cantrell, Nancy Wilson, and many more.","
    Director:
Robert Radler
| 
    Stars:
Johnny A., 
Russell Ali, 
Kevin Bacon, 
Jeffrey Baxter
",61,86,
Russell Peters Versus the World,(2013– ),"
Documentary, Comedy            ",5.5,"
A four-part docu-series that's an exclusive, backstage pass to global comedy superstar Russell Peters' record breaking ""Notorious"" wold tour.","
            
    Stars:
Russell Peters, 
Matt Schichter
",213,120,
The Outlaw Ocean,,"
Action, Adventure, Crime            ",,"
A vigilante crew hunts down illegal poachers at sea.","
",,,
S.T.R.O.N.G.,(II) (2016– ),"
Game-Show, Reality-TV            ",7.3,"
NBC's ""STRONG"" is a competition show like no other. Contestants are embarking on a transformative journey in order to reach their full potential. As they will learn, it's not necessarily ...                See full summary »
","
            
    Star:
Gabrielle Reece
",59,,
The Truth Is in the Stars,(2017),"
Documentary            ",6.7,"
William Shatner sits down with scientists, innovators and celebrities to discuss how the optimism of ""Star Trek"" influenced multiple generations.","
    Director:
J. Craig Thompson
| 
    Stars:
William Shatner, 
Ben Stiller, 
Tracy Drain, 
Emily Lakdawalla
",389,86,
Pokémon,,"
Action, Adventure, Comedy            ",,"
Plot under wraps. Adaptation of the Anime series.","
",,,
U-Prince: The Playful Comm-Arts,(2016),"
Romance            ",8.5,"
Sung dreams of making Kiran, from the comm-arts department, her boyfriend. Until one day, Sung was hit by a tricycle and made a promise with the god of death. The god of death sent her back...                See full summary »
","
            
    Stars:
Korawit Boonsri, 
Phumphothingam Nawat, 
Sananthachat Thanapatpisal
",22,,
Novatos,(2015),"
Drama            ",4.8,"
Hazing (Novatos) a feature film based on the director's true story. The story of Alex, a fresher who rejects hazing, and Carla, a fresher who doesn't care too much about it. Between them, ...                See full summary »
","
    Director:
Pablo Aragüés
| 
    Stars:
Nicolás Coronado, 
Javier Butler, 
Lucía Ramos, 
Alejandra Onieva
",257,92,
The Panama Papers,(2016),"
Documentary, Short            ",7.6,"
A German newspaper journalist Bastian Obermayer, through his anonymous source, leaks the information of how many famous individuals around the world hide their money in order to avoid taxes.","
            
    Star:
Sarah Ferguson
",9,43,
The Land of College Prophets,(2005),"
Action, Fantasy, Horror            ",3.5,"
Two belligerent college students accidently reactivate a toxic wishing well, setting off a series of events that brings havoc to a small community.","
    Directors:
Mike Aransky, 
Philip Guerette, 
Thomas Edward Seymour
| 
    Stars:
Thomas Edward Seymour, 
Philip Guerette, 
Russ Russo, 
Tina Angelillo
",229,83,
Fix Us,(2019),"
Comedy            ",,"
Three young ladies take us on a journey of faith and fate.","
    Director:
Pascal Amanfo
| 
    Stars:
Alexandra Amon, 
Michelle Attoh, 
Tobi Bakre, 
Mofe Duncan
",,,
The Red Zone,,"
Comedy            ",,"
Friendship, trust and families, in a world where no one is actually your friend, where there is zero trust and where families tend to devour each other every six months.","
",,,
Decoding Deepak,(2012),"
Documentary            ",5.5,"
Deepak Chopra's son, Gotham, spends a year traveling with this father in an attempt to resolve the spiritual icon he is to the world with the man known to his family.","
    Director:
Gotham Chopra
| 
    Stars:
Deepak Chopra, 
Gotham Chopra
",124,83,$0.01M
Midnight Misadventures with Mallika Dua,(2018),"
Comedy            ",3.5,"
She is confident, innately kind, privileged, misinformed, graceful, unapologetic, well dressed and glamorous. Her style is on point, money beyond belief. You must be wondering if it's even ...                See full summary »
","
            
    Stars:
Radhika Apte, 
Tanmay Bhat, 
Mallika Dua, 
Vicky Kaushal
",22,,
Dou Yu,(2004– ),"
Drama, Romance            ",7.4,"
Story revolves around three sworn brothers namely Yu Hao, Shan Zi and Yang Xiong Qi. They are delinquents, fighting to gain what they want, though they have never officially joined any ...                See full summary »
","
            
    Stars:
Dylan Kuo, 
Ady An, 
Blue Cheng-Lung Lan, 
Michael Chang
",33,,
Pierre Jackson,(2018),"
Romance            ",6.4,"
In the midst of an arduous divorce battle, a real estate tycoon opts for a life of partying and sex until feelings for his childhood friend surface.","
    Director:
Christopher Nolen
| 
    Stars:
Trae Ireland, 
Chrystee Pharris, 
Brian Hooks, 
Dawn Halfkenny
",74,81,
Indian Predator,,"
Documentary            ",,"
Uncovering the details of gruesome killings, people who were at the epicentre talk about what went down.","
",,,
Tenured,(2015),"
Comedy            ",6.0,"
It's dark times for Ethan Collins, a severely depressed, foul-mouthed elementary school teacher whose wife's recent infidelity and departure have left him questioning everything in his life.","
    Director:
Chris Modoono
| 
    Stars:
Gil Zabarsky, 
Kate Flannery, 
Kathleen Littlefield, 
Maddux Berry
",492,80,
Alex Fernández: El mejor comediante del mundo,(2020 TV Special),"
Comedy            ",6.1,"
Add a Plot
","
    Director:
Alex Díaz
| 
    Star:
Alex Fernández
",125,51,
Juneteenth,(I),"
Musical            ",,"
A musical about Juneteenth, the","
",,,
Dino Daycare,,"
Animation, Adventure, Comedy            ",,"
Follows a 6-year-old human boy named Cole as he helps out at Dino Daycare, a nursery for baby Dinos.","
",,,
First Ascent,,,,"
Free soloist Hillary Hall enlists old climbing partners to document her comeback two years after a near-fatal accident, but struggles with inner demons and supernatural forces while ascending the 4,000 foot rock wall.","
    Director:
Jake Scott
",,,
No Hay Tiempo Para La Vergüenza,(2019– ),"
Reality-TV            ",5.7,"
The story of Argentinian fashion designer Santiago Artemis. Extravagant and unique, how he became who he is.","
            
    Stars:
Edwin Salinas, 
Santiago Artemis
",75,,
Wonderoos,(2020– ),"
Animation, Family            ",,"
Learn and play every day with the Wonderoos, a lovable group of animal pals from around the world who explore life lessons through song in Candoo City!","
            
    Star:
Connor Andrade
",,,
Malena Pichot: Estupidez compleja,(2018 TV Special),"
Comedy            ",5.4,"
An Argentine comedian who portrays feminism as a banner speaks about sex, language, abortion and explains why it is okay to let man pay for dinner.","
    Directors:
Raúl Campos, 
Jan Suter
| 
    Star:
Malena Pichot
",334,50,
Venus on the Halfshell,(2003),"
Comedy, Romance            ",7.5,"
Smart, young forest ranger marries handsome, flaky, artist dude, way too quickly. Their happy-giddy start degrades through a surreal roller-coaster ride whipped to a frenzy with neurotic ...                See full summary »
","
    Director:
Niels Nielsen
| 
    Stars:
Monica Snow, 
Jonathan Aube, 
Jennifer Gareis, 
Miguel Pérez
",40,,
Game Changer,,,,"
Plot unknown.","
",,,
Matilda,,,,"
A young bookworm prodigy mistreated by her ignorant parents. At a school run by an abusive headmistress, she finds a kindred spirit in her teacher, Miss Honey.","
",,,
The Bridge,(XIV) (2017),"
Drama            ",5.4,"
A Yoruba prince and a young lady from a prominent Igbo family face tribal prejudice and parental pressure when they secretly wed.","
    Director:
Kunle Afolayan
| 
    Stars:
Ademola Adedoyin, 
Chedinma Ekile, 
Kunle Afolayan, 
Zack Orji
",30,115,
